id,gender,array,boolean,integer,null,number,object,string,time,date,timestamp,decimal
1,Genderfluid,[6],true,815,,386.49,"[{""class"":""a"",""color"":""Aquamarine""}]",non,14:05:22,04/13/2021,1668012230000,364.16
2,Male,[1],true,330,564,301.25,"[{""class"":""e"",""color"":""Blue""},{""class"":""c"",""color"":""Green""},{""class"":""d"",""color"":""Red""},{""class"":""a"",""color"":""Violet""}]",platea,6:54:29,10/09/2022,1670576632000,491.29
3,Female,"[11, 12, 8, 2, 3]",false,338,,247.57,"[{""class"":""f"",""color"":""Indigo""},{""class"":""a"",""color"":""Green""},{""class"":""f"",""color"":""Pink""}]",ut,19:07:45,10/06/2022,1644441559000,792.6
4,Genderqueer,"[4, 1, 12, 7, 11, 9]",true,84,122,492.73,"[{""class"":""c"",""color"":""Fuscia""}]",consequat,16:59:35,06/13/2023,1665894519000,785.62
5,Male,[12],false,306,,470.71,"[{""class"":""d"",""color"":""Violet""}]",dis,4:59:58,04/18/2022,1610313042000,807.85
6,Female,"[5, 9, 6, 4, 3, 8]",false,177,734,805.66,"[{""class"":""c"",""color"":""Puce""},{""class"":""a"",""color"":""Fuscia""},{""class"":""a"",""color"":""Green""},{""class"":""b"",""color"":""Aquamarine""},{""class"":""c"",""color"":""Turquoise""}]",hac,0:25:28,12/10/2021,1641686370000,299.29
7,Male,"[8, 11, 7, 6, 10, 2, 9, 12]",false,150,,619.6,"[{""class"":""f"",""color"":""Orange""}]",tristique,20:57:11,11/19/2022,1646044041000,580.05
8,Male,"[4, 5, 6, 7, 12, 8, 3, 10]",true,709,170,991.4,"[{""class"":""f"",""color"":""Blue""},{""class"":""e"",""color"":""Fuscia""}]",a,10:14:51,07/04/2023,1685605560000,913.37
9,Female,"[11, 6, 3, 7, 10, 4]",true,539,724,162.9,"[{""class"":""e"",""color"":""Red""},{""class"":""a"",""color"":""Indigo""},{""class"":""d"",""color"":""Orange""},{""class"":""b"",""color"":""Orange""}]",mus,16:24:15,01/28/2021,1660309467000,740.71
10,Female,"[11, 12, 9, 5, 4, 2, 10, 6]",true,823,184,368.25,"[{""class"":""d"",""color"":""Pink""}]",metus,2:39:03,02/18/2022,1678584790000,432.27
11,Female,"[2, 12, 5, 10, 11, 9]",false,766,451,340.63,"[{""class"":""f"",""color"":""Pink""},{""class"":""c"",""color"":""Maroon""},{""class"":""a"",""color"":""Violet""},{""class"":""a"",""color"":""Purple""},{""class"":""f"",""color"":""Orange""}]",ante,18:11:08,09/04/2022,1610136398000,968.37
12,Male,"[10, 5]",true,334,928,383.87,"[{""class"":""a"",""color"":""Turquoise""},{""class"":""f"",""color"":""Aquamarine""}]",maecenas,9:00:39,01/05/2021,1628045549000,752.79
13,Female,"[8, 7, 12]",false,155,,37.5,[],at,4:53:44,03/11/2021,1611106807000,157.67
14,Agender,"[2, 6]",true,368,297,590.33,"[{""class"":""e"",""color"":""Maroon""},{""class"":""d"",""color"":""Yellow""},{""class"":""e"",""color"":""Violet""},{""class"":""f"",""color"":""Teal""},{""class"":""e"",""color"":""Teal""}]",luctus,20:31:39,02/06/2022,1645661446000,933.68
15,Male,"[2, 3, 11]",true,658,285,428.91,"[{""class"":""d"",""color"":""Yellow""},{""class"":""e"",""color"":""Violet""},{""class"":""a"",""color"":""Yellow""},{""class"":""e"",""color"":""Crimson""}]",augue,3:35:13,04/27/2023,1651292869000,684.63
16,Female,"[4, 2, 9]",false,394,176,478.39,"[{""class"":""f"",""color"":""Purple""},{""class"":""d"",""color"":""Orange""},{""class"":""e"",""color"":""Khaki""},{""class"":""d"",""color"":""Pink""}]",quis,22:27:46,05/19/2022,1636600236000,206.02
17,Female,"[1, 6, 10, 4]",false,401,406,368.21,"[{""class"":""e"",""color"":""Maroon""},{""class"":""b"",""color"":""Maroon""},{""class"":""e"",""color"":""Pink""}]",est,0:55:15,01/09/2021,1661349977000,380.61
18,Female,"[4, 1, 12]",false,745,,208.2,"[{""class"":""e"",""color"":""Yellow""},{""class"":""d"",""color"":""Turquoise""},{""class"":""c"",""color"":""Puce""}]",luctus,11:51:32,01/03/2022,1613657044000,344.68
19,Female,"[1, 4, 7, 3, 6, 5, 12, 10, 9]",false,274,,375.53,"[{""class"":""c"",""color"":""Aquamarine""},{""class"":""e"",""color"":""Puce""},{""class"":""e"",""color"":""Aquamarine""},{""class"":""f"",""color"":""Green""}]",proin,0:41:04,05/18/2023,1638130741000,845.48
20,Female,"[7, 12, 8, 1, 11, 5, 9, 2, 3, 10]",true,288,252,916.8,[],justo,1:35:14,06/01/2022,1658299269000,889.33
21,Female,"[4, 8, 6, 10, 9, 5]",false,821,,300.05,"[{""class"":""c"",""color"":""Turquoise""},{""class"":""e"",""color"":""Yellow""}]",orci,18:01:16,04/11/2023,1666722104000,385.38
22,Male,"[7, 6]",false,757,,231.08,"[{""class"":""b"",""color"":""Yellow""},{""class"":""b"",""color"":""Crimson""}]",ligula,13:42:18,04/02/2023,1670378207000,102.3
23,Male,"[1, 11, 7, 3, 5, 4]",false,765,723,764.95,"[{""class"":""b"",""color"":""Yellow""}]",in,1:21:06,10/29/2021,1647422305000,122.22
24,Female,"[12, 2]",true,703,223,810.85,[],sem,16:19:08,04/02/2022,1675258719000,634.32
25,Male,"[4, 6, 12, 11, 2, 5]",false,769,62,351.97,[],nisl,22:37:19,09/07/2021,1680653880000,688.59
26,Male,"[3, 7, 4, 1, 2, 10, 9, 6, 8, 5]",true,493,,406.48,"[{""class"":""d"",""color"":""Puce""},{""class"":""c"",""color"":""Turquoise""},{""class"":""f"",""color"":""Green""},{""class"":""c"",""color"":""Mauv""}]",semper,17:01:37,12/25/2021,1640299700000,90.27
27,Male,"[7, 11, 2, 12, 9, 4, 10, 5, 3]",false,2,,202.39,"[{""class"":""b"",""color"":""Crimson""},{""class"":""c"",""color"":""Turquoise""},{""class"":""d"",""color"":""Indigo""},{""class"":""a"",""color"":""Blue""}]",ac,18:29:15,03/26/2023,1650386472000,868.94
28,Female,"[12, 1, 6, 2, 10, 8]",true,645,531,698.99,"[{""class"":""e"",""color"":""Red""},{""class"":""e"",""color"":""Yellow""},{""class"":""d"",""color"":""Puce""},{""class"":""e"",""color"":""Pink""},{""class"":""f"",""color"":""Teal""}]",tortor,20:04:40,05/03/2022,1666951870000,986.81
29,Female,"[8, 1, 6]",true,616,397,611.79,"[{""class"":""d"",""color"":""Goldenrod""},{""class"":""c"",""color"":""Khaki""},{""class"":""e"",""color"":""Goldenrod""},{""class"":""e"",""color"":""Crimson""},{""class"":""a"",""color"":""Maroon""}]",tristique,12:17:41,08/11/2021,1615348743000,438.52
30,Male,"[2, 9, 6]",true,103,413,755.42,"[{""class"":""f"",""color"":""Indigo""},{""class"":""d"",""color"":""Yellow""}]",diam,3:10:37,11/22/2021,1673295540000,154.53
31,Female,[12],true,573,202,305.22,"[{""class"":""a"",""color"":""Yellow""},{""class"":""a"",""color"":""Indigo""}]",proin,16:09:46,12/30/2022,1670290841000,426.03
32,Female,[10],true,568,866,833.71,"[{""class"":""e"",""color"":""Khaki""},{""class"":""d"",""color"":""Violet""},{""class"":""d"",""color"":""Teal""},{""class"":""a"",""color"":""Turquoise""}]",aenean,5:01:04,12/25/2021,1675203569000,792.59
33,Male,"[10, 8, 11, 4, 5, 6, 12, 7]",true,653,,503.97,"[{""class"":""e"",""color"":""Green""}]",non,15:45:09,05/13/2021,1651356003000,56.82
34,Male,"[3, 11, 1, 10, 2, 8, 5, 7, 12, 9]",false,809,868,691.84,"[{""class"":""b"",""color"":""Purple""},{""class"":""e"",""color"":""Green""},{""class"":""d"",""color"":""Aquamarine""}]",leo,12:36:17,01/26/2021,1660159781000,898.79
35,Female,"[8, 6, 2, 7, 3, 12, 5, 4, 11]",true,890,,59.57,"[{""class"":""c"",""color"":""Fuscia""},{""class"":""d"",""color"":""Crimson""},{""class"":""a"",""color"":""Aquamarine""},{""class"":""b"",""color"":""Crimson""},{""class"":""a"",""color"":""Maroon""}]",libero,19:45:17,07/23/2021,1687369127000,196.92
36,Female,"[4, 5]",true,880,456,805.17,[],congue,14:13:20,02/19/2021,1685869834000,755.36
37,Female,"[3, 1, 2, 6, 4, 11, 10]",false,174,789,226.26,"[{""class"":""f"",""color"":""Turquoise""},{""class"":""c"",""color"":""Violet""},{""class"":""c"",""color"":""Orange""},{""class"":""f"",""color"":""Maroon""}]",nullam,11:00:57,05/14/2023,1679804295000,639.32
38,Female,[10],true,653,295,727.46,"[{""class"":""a"",""color"":""Mauv""},{""class"":""b"",""color"":""Turquoise""},{""class"":""b"",""color"":""Indigo""},{""class"":""f"",""color"":""Khaki""}]",sed,12:13:21,05/11/2022,1641000966000,501.93
39,Female,[7],false,273,397,634.32,"[{""class"":""c"",""color"":""Aquamarine""}]",orci,7:04:53,05/26/2022,1618321249000,370.08
40,Female,"[12, 9, 5, 6, 3, 7, 8, 10, 2, 11]",true,711,80,501.58,"[{""class"":""c"",""color"":""Puce""},{""class"":""d"",""color"":""Puce""}]",aliquet,17:54:03,06/03/2023,1685289298000,498.69
41,Male,"[5, 7, 2, 3, 4, 9, 8, 12, 11]",false,204,,615.35,"[{""class"":""b"",""color"":""Fuscia""},{""class"":""f"",""color"":""Pink""}]",curae,11:45:33,09/27/2021,1691226653000,796.3
42,Male,"[7, 9, 1]",false,240,,502.17,"[{""class"":""f"",""color"":""Pink""}]",dolor,7:57:38,09/17/2021,1670557218000,941.19
43,Female,"[1, 8, 5, 10, 11, 7, 12, 6]",true,843,569,736.62,"[{""class"":""d"",""color"":""Violet""},{""class"":""d"",""color"":""Crimson""},{""class"":""b"",""color"":""Purple""},{""class"":""b"",""color"":""Blue""},{""class"":""a"",""color"":""Yellow""}]",in,19:52:01,05/22/2023,1637791629000,99.01
44,Female,"[3, 10, 11, 8, 4, 7, 2]",false,142,230,186.24,"[{""class"":""d"",""color"":""Mauv""},{""class"":""b"",""color"":""Aquamarine""}]",pellentesque,9:54:38,06/23/2022,1676671433000,495.37
45,Male,"[9, 1, 4, 7, 6]",false,2,477,44.5,"[{""class"":""d"",""color"":""Maroon""},{""class"":""f"",""color"":""Purple""},{""class"":""a"",""color"":""Orange""},{""class"":""a"",""color"":""Orange""},{""class"":""c"",""color"":""Aquamarine""}]",egestas,4:41:32,06/20/2022,1632239336000,732.16
46,Male,"[4, 9, 2, 7]",true,5,345,132.39,"[{""class"":""b"",""color"":""Green""},{""class"":""c"",""color"":""Fuscia""}]",vitae,13:30:11,04/01/2022,1680624800000,169.66
47,Female,"[3, 4, 11, 1, 7, 2, 6, 10, 5]",true,501,,933.43,"[{""class"":""d"",""color"":""Red""},{""class"":""c"",""color"":""Mauv""},{""class"":""b"",""color"":""Khaki""},{""class"":""a"",""color"":""Aquamarine""}]",in,22:40:58,10/04/2021,1647338080000,742.87
48,Female,"[12, 10, 6, 5]",false,185,,610.0,"[{""class"":""e"",""color"":""Yellow""},{""class"":""f"",""color"":""Teal""},{""class"":""a"",""color"":""Purple""},{""class"":""f"",""color"":""Yellow""}]",sapien,2:49:17,04/12/2022,1618332594000,464.31
49,Bigender,"[6, 5]",true,769,,748.0,"[{""class"":""d"",""color"":""Violet""},{""class"":""b"",""color"":""Maroon""},{""class"":""b"",""color"":""Fuscia""},{""class"":""d"",""color"":""Green""},{""class"":""f"",""color"":""Aquamarine""}]",sapien,12:35:49,01/05/2022,1654925511000,634.69
50,Female,"[9, 3, 1, 5, 11, 2, 7, 8]",true,106,,2.24,"[{""class"":""d"",""color"":""Maroon""}]",in,1:10:53,11/08/2022,1679752869000,288.48
51,Male,"[6, 8, 11, 5, 12, 2, 7]",false,234,210,858.05,"[{""class"":""e"",""color"":""Puce""},{""class"":""f"",""color"":""Indigo""}]",donec,0:47:20,06/25/2022,1618927231000,189.82
52,Male,"[4, 6, 11, 7, 8, 2, 3, 9]",false,283,868,17.97,"[{""class"":""b"",""color"":""Puce""}]",ut,9:18:48,12/31/2022,1662746670000,553.68
